correlations,mean assort,conf_int,std
-1.0,0.17601649736643196,0.014368528129402564,0.04015289272765966
-0.8,0.16132552441866002,0.015074294698255043,0.042125159411810296
-0.6,0.1691307473379914,0.02144991737676363,0.05994185512181367
-0.4,0.15550520487639094,0.01595097525567552,0.044575045723164376
-0.2,0.16500989315302664,0.016837358203281076,0.047052045391488266
0.0,0.16916697875756728,0.020742721603786478,0.05796559452267139
0.2,0.14348706022769744,0.01835752882503722,0.05130016651798058
0.4,0.13342265523573038,0.013304015958686546,0.0371781104386803
0.6,0.09043550543017598,0.015362677361013807,0.04293104558316938
0.8,0.05222182563554636,0.014098355635289229,0.039397894924377494
1.0,-0.004057454878166838,0.0120592323114749,0.033699558995867185
