correlations,mean assort,conf_int,std
-1.0,0.20934014609175952,0.010182853228772921,0.028456012312057362
-0.8,0.20580726942925903,0.010673411208795187,0.029826877982579623
-0.6,0.20206857758545352,0.0127798052715809,0.0357132021824913
-0.4,0.20089172906854272,0.010147490986816748,0.028357192426325974
-0.2,0.19362914784857801,0.010371683696273993,0.028983699590601153
0.0,0.18342882092161136,0.01065900830773474,0.029786629034598392
0.2,0.16089440387576293,0.010683777831321763,0.02985584753871711
0.4,0.1395398690466036,0.011655715200002359,0.032571929280087404
0.6,0.09307628802858009,0.0075226567187802055,0.021022085598182222
0.8,0.048996444185668966,0.010092563789677543,0.028203698217684772
1.0,-0.0163529193701556,0.007949853644570633,0.022215888622428535
