correlations,mean assort,conf_int,std
-1.0,0.1493512244170721,0.010454583786395518,0.029215364128247944
-0.8,0.1450715004736135,0.00952387924322486,0.0266145076350484
-0.6,0.1369360131400028,0.011072291118122498,0.03094154902377444
-0.4,0.1260941936573842,0.009974683929965698,0.027874282614420882
-0.2,0.11508927470598129,0.008014941777281065,0.022397777594425444
0.0,0.09954811492224981,0.009417026280624123,0.026315906727126564
0.2,0.07634846822047593,0.008321067943382969,0.023253248036346798
0.4,0.059941405217274445,0.008437984511008552,0.02357997171713563
0.6,0.028044548490942497,0.006224040970478852,0.017393100195753127
0.8,0.01712816283095238,0.009027848618812524,0.025228348644211616
1.0,-0.018841411167659354,0.0075033825670162944,0.020968223926254304
