correlations,mean assort,conf_int,std
-1.0,0.17601649736643193,0.014368528129402574,0.040152892727659685
-0.8,0.16132552441866002,0.015074294698255067,0.042125159411810366
-0.6,0.16913074733799138,0.021449917376763637,0.05994185512181369
-0.4,0.155505204876391,0.015950975255675518,0.04457504572316436
-0.2,0.16500989315302667,0.016837358203281087,0.047052045391488294
0.0,0.16916697875756728,0.020742721603786485,0.0579655945226714
0.2,0.14348706022769744,0.01835752882503722,0.05130016651798058
0.4,0.13342265523573038,0.013304015958686546,0.0371781104386803
0.6,0.09043550543017594,0.015362677361013806,0.042931045583169375
0.8,0.0522218256355464,0.014098355635289229,0.039397894924377494
1.0,-0.004057454878166838,0.012059232311474894,0.03369955899586717
